id,revenue
3001,10694530.149260033
3002,666955.5094200936
3003,8712204.083916346
3004,6461746.67668137
3005,730069.7655043694
3006,1903630.1575871266
3007,1025631.5287361743
3008,28212011.580529608
3009,21517752.697826978
3010,435192680.3239082
3011,74202.9845187156
3012,140063.32494591366
3013,16131230.178079708
3014,351640.9440657209
3015,18470803.062217098
3016,96038.97134520675
3017,112769161.680233
3018,171343487.59161964
3019,16659991.13260631
3020,438675497.63213664
3021,29951186.840032782
3022,29547717.0580865
3023,28549.61393345802
3024,6002934.155530233
3025,140530.74540896097
3026,91064414.50271766
3027,2352943.0373911867
3028,116372566.58100155
3029,141678.35291015415
3030,9783468.903952572
3031,4385858.339560928
3032,7100773.940356234
3033,65526.38322212299
3034,104978.03787672406
3035,292577.8228499567
3036,24712662.270037472
3037,52771310.39277795
3038,23085561.994771015
3039,2646761.818614444
3040,1218784.168883545
3041,15188348.836583653
3042,806525.4045027464
3043,6968949.655915403
3044,2060657.757006246
3045,578536131.3376212
3046,1252069.2022193484
3047,655826.4136757007
3048,20100701.576299872
3049,39113705.3217795
3050,43185995.35961224
3051,24994.211128625677
3052,8580686.703040961
3053,96196.07028114406
3054,53156.21273529713
3055,54632701.74210504
3056,111586.88733584007
3057,7478731.23707235
3058,242882517.26599005
3059,531897.9327783135
3060,104359760.8115742
3061,26201917.34344975
3062,10182203.32451716
3063,4058917.0412788587
3064,34543502.58950906
3065,51213955.119026646
3066,42402948.7467597
3067,166014.6466596675
3068,92875921.26738487
3069,269682882.84805304
3070,565289.4680701107
3071,3174984.3848447874
3072,419998558.79008347
3073,2489049.948535814
3074,312800.828504197
3075,77216292.83440153
3076,113199063.42379266
3077,2510362.2744859634
3078,101289724.87292382
3079,33744716.125299364
3080,197097688.74089924
3081,14128923.916538998
3082,4436600.762920836
3083,8240874.200201047
3084,90810.78054079902
3085,8969018.230178848
3086,70794031.84967741
3087,123479.43845088307
3088,502504.6185673898
3089,12859.531209830962
3090,48483920.97942102
3091,12148228.232515976
3092,3353158.8187289126
3093,238665436.93851247
3094,158559807.87125513
3095,31644391.50937523
3096,1497846.4787240657
3097,620781973.4330094
3098,25960774.702036764
3099,43615212.03770627
3100,6580574.759017953
3101,8869142.275074726
3102,114707.43406383911
3103,635522.5991336042
3104,3522690.618584185
3105,61704215.48987792
3106,52857208.526405245
3107,32457306.049395744
3108,6999798.854850537
3109,12325534.675956462
3110,385774090.6600566
3111,4996760.065163005
3112,290783.4507047713
3113,3422258.6294580186
3114,12873941.321238222
3115,11283648.184516348
3116,6754118.975675127
3117,248038.8792377961
3118,602957.3428551939
3119,339227797.2838285
3120,47819601.80239312
3121,158613.09664597994
3122,4915381.978429046
3123,22601376.935379364
3124,1187850.584529949
3125,156217.13622405173
3126,38660588.92053219
3127,12498791.583695807
3128,26577958.657994427
3129,242215031.52725762
3130,11841487.847108824
3131,1338852.5323221306
3132,3978238.230533448
3133,259529.52771879995
